,filename,msePTC,rmsePTC,distCNTRD,"rmsePTC (x,y,z)",stdPTC
0,file1904_frac_1,0.00022,0.015,0.014,[0.002 0.006 0.013],8e-05
1,file1904_frac_12,7e-05,0.008,0.007,[0.002 0.005 0.006],2e-05
2,file1904_frac_13,5e-05,0.007,0.002,[0.004 0.005 0.003],2e-05
3,file1904_frac_14,0.00017,0.013,0.013,[0.001 0.012 0.004],7e-05
4,file1904_frac_15,6e-05,0.008,0.007,[0.002 0.004 0.006],2e-05
5,file1904_frac_17,1e-05,0.003,0.003,[0.    0.001 0.003],0.0
6,file1904_frac_18,2e-05,0.004,0.002,[0.002 0.002 0.003],1e-05
7,file1904_frac_19,0.00071,0.027,0.027,[0.    0.024 0.012],0.00025
8,file1904_frac_2,2e-05,0.004,0.002,[0.003 0.002 0.002],1e-05
9,file1904_frac_20,0.0,0.002,0.0,[0.    0.001 0.001],0.0
10,file1904_frac_21,0.00241,0.049,0.005,[0.04  0.026 0.012],0.0012
11,file1904_frac_22,0.00033,0.018,0.017,[0.005 0.011 0.014],9e-05
12,file1904_frac_24,9e-05,0.009,0.009,[0.002 0.008 0.005],3e-05
13,file1904_frac_25,3e-05,0.006,0.005,[0.003 0.004 0.003],1e-05
14,file1904_frac_26,0.00324,0.057,0.055,[0.015 0.05  0.023],0.00103
15,file1904_frac_28,2e-05,0.004,0.002,[0.003 0.003 0.002],1e-05
16,file1904_frac_29,0.00011,0.011,0.01,[0.001 0.01  0.002],5e-05
17,file1904_frac_3,1e-05,0.003,0.002,[0.    0.002 0.001],0.0
18,file1904_frac_30,2e-05,0.005,0.003,[0.002 0.003 0.003],1e-05
19,file1904_frac_31,2e-05,0.004,0.001,[0.002 0.003 0.001],1e-05
20,file1904_frac_32,2e-05,0.004,0.004,[0.001 0.004 0.002],1e-05
21,file1904_frac_33,0.00032,0.018,0.017,[0.002 0.011 0.014],0.0001
22,file1904_frac_34,0.00021,0.014,0.014,[0.    0.014 0.003],9e-05
23,file1904_frac_35,2e-05,0.005,0.002,[0.003 0.003 0.003],1e-05
24,file1904_frac_36,2e-05,0.005,0.004,[0.    0.004 0.003],1e-05
25,file1904_frac_38,1e-05,0.003,0.002,[0.    0.002 0.002],0.0
26,file1904_frac_39,0.00187,0.043,0.027,[0.031 0.028 0.012],0.00073
27,file1904_frac_4,0.00268,0.052,0.05,[0.012 0.046 0.021],0.00092
28,file1904_frac_40,1e-05,0.002,0.0,[0.001 0.001 0.001],0.0
29,file1904_frac_41,0.00142,0.038,0.038,[0.002 0.035 0.013],0.00056
30,file1904_frac_42,5e-05,0.007,0.006,[0.003 0.006 0.001],2e-05
31,file1904_frac_43,0.0,0.002,0.001,[0.001 0.001 0.002],0.0
32,file1904_frac_44,0.0,0.002,0.002,[0.    0.001 0.002],0.0
33,file1904_frac_45,1e-05,0.003,0.0,[0.002 0.002 0.001],0.0
34,file1904_frac_46,6e-05,0.008,0.008,[0.001 0.008 0.001],3e-05
35,file1904_frac_47,3e-05,0.005,0.002,[0.003 0.003 0.003],1e-05
36,file1904_frac_48,4e-05,0.006,0.002,[0.004 0.003 0.004],2e-05
37,file1904_frac_49,1e-05,0.004,0.003,[0.    0.003 0.001],1e-05
38,file1904_frac_5,3e-05,0.005,0.003,[0.003 0.004 0.001],1e-05
39,file1904_frac_50,1e-05,0.003,0.003,[0.    0.002 0.003],0.0
40,file1904_frac_6,0.0,0.002,0.001,[0.001 0.001 0.001],0.0
41,file1904_frac_7,0.0002,0.014,0.014,[0.001 0.012 0.006],7e-05
42,file1904_frac_9,2e-05,0.004,0.003,[0.002 0.003 0.002],1e-05
